,Topic Title,Category,Tags,Leading Post,Post Replies,Created_at,Likes,Views,Replies
65,Success habits vs failure habits,Management,[],"2020 is upon us and for many, now is a time for new year’s resolutions.
Sadly, most of these resolutions (lose weight, make more money, find love, etc…) will never become a reality.
Why?
Because they are not supported by an action plan that makes achieving these goals the likely outcome.
What do I mean?
In order to achieve more, you need to have a clearly defined action plan, supported by a set of daily & weekly habits. Without this in place, your goals are nothing more than things you hope to achieve, and I can assure that hope is not a strategy for success.
Hoping that the train coming towards you on the tracks doesn’t kill you is not nearly as effective as simply moving out of the way!
In my prior emails, I’ve been talking a great deal about a book called The Slight Edge.
Over the holidays, I mentioned this book to several of my friends and did my best to encourage them to read it.
If you have started to read the book, I’d love for you to share your biggest take away so far. Do it now, ok? Even if it is only a sentence or two.
In my case, my biggest take away has been that I now think about how to “Slight Edge” pretty much everything in my life…and as a result, forming important daily habits has become much easier for me.
I now have a habit app on my phone called Productive and each day, I’m reminded of the following habits:

Read 10 pages of a book
Minimum of 20 minutes of cardio
20 minutes of meditation
Write in my gratitude journal
Take a few moments and consciously think about something specific that I appreciate about my wife and daughter

By starting my day at 5:30, I have plenty of time for all of the above and it is a fantastic way to start my day!
As for my action plan, I have my “big rocks” for the first 90 days of 2020 already committed to writing, supported by a detailed action plan to achieve them. My wife and I then review this plan vs our progress each month so that we can see if we are on track or not.
If you have goals you are committed to achieving in your business in 2020, I encourage you to take the same approach.",[],0,0,0,0
66,Takeaway #1 from mastermind,Management,[],"While I was at the mastermind weekend I wrote about yesterday, I took about 10 pages of notes that are going to massively boost my income in 2020.
Over the next week or so, I’m going to share some of my biggest takeaways.
Here’s the first…
If you are selling stuff online, you should seriously consider building (and amplifying) a personal brand.
Why?
Authority, credibility, and revenue on demand. (Bright Ideas is the most profitable thing I do)
While I have been building my brand for years, I have not been amplifying it nearly as well as I should have been. In 2020, that is going to change and my income is going to go up. A lot.
How do you amplify?
Ad spend.
More ad spend = more eyeballs = more subscribers = more revenue on demand.
Tomorrow, I’ll dig more into the ways to do this.
For today, my ask is this: please take 2 minutes right now to complete my community feedback survey 2.
Why? Because I’m going to come out with some free training material for you and if you don’t tell me what you want/need, I won’t know what to create.
Sound fair?
Go fill out the survey 2 now, ok?","['Hi Trent, thank you for this useful insight.\nHow is this specifically helping you to grow your Amazon business?\nI understand the importance of building a personal brand, but are you suggesting that to be something complementary to the amazon business and potentially making an other income stream through for example podcasts, courses, blogs, etc?\nIs this what you mean or am I missing something?\nThanks', 'On more than one occasion, brands that we spoke with mentioned that they had research me and, thanks to all the content I produce, they were very complimentary of my skills/experience and each time this happened, we won the account.']","Dec 17, 2019 7:04 pm",2,425,2
67,Pain is necessary,Management,[],"Today I started my morning like I always do; by watching motivational speeches on Youtube while I’m in the bathroom shaving, brushing my teeth, etc…
I like to start my day this way because it fires me up and ensures that when I sit down at my desk, I’m ready to make shit happen!
If you don’t yet have a morning routine that includes meditation, consuming inspirational content, and whatever else you need to get your head in the game, I’d like to challenge you to start TODAY.
To help you with that, I’m going to share with you the video that I watched this morning: https://youtu.be/3wi65UW_nJk 3
This video was created by an African American man who grew up in the projects. His name is William King Hollis and if you think you have any disadvantages that are preventing you from being more successful in business and in life, I suspect hearing his story might help you to put that in perspective.
If you want to be successful in business; pain is necessary. If it wasn’t, everyone would own a successful company, wouldn’t they?
The difference between those that do, and those that only talk, is their ability to suffer through the pain.
Want proof? Think about anyone that has ever won a gold medal. Think their training was pain free?
Think about any actor that has hit it big. Think their early years were pain free?
I doubt it.
Pain is necessary. If you want to become financially successful, you have to be 100% committed to that goal; regardless of how much pain you are going to have to endure.
Now go make it happen!
Trent
PS. I’m planning to come up with more free training content and need your feedback so I know exactly what I need to create. Please tell me 1 what you need, ok?",[],0,0,0,0
68,Takeaway #2 from the Mastermind Weekend,Management,[],"Today I’m going to share my next big takeaway from the mastermind I attended last weekend.
As I wrote yesterday, the biggest area that I have dropped the ball in building my personal brand has been to rely solely on organic traffic and not use any advertising.
In 2020, I’m going to start advertising, and I’m going to do it in two ways.
Way #1: Facebook retargeting campaigns. Thankfully, I’ve had a Facebook pixel on my site for ages, so my Facebook audience will be pretty big and as retargeting is the cheapest way to advertise online, showing ads to people who have already been to my site will be pretty inexpensive.
Way #2: Running Youtube ads to cold traffic (people who have never been to my site and have no idea who I am). These campaigns will be more costly and I actually did experiment with them a tiny bit in mid 2019.
Being as I want to learn a lot more about running ad campaigns, expect me to publish more interviews with ad experts in the weeks/months ahead.
In fact, I just recorded one with a woman who used to work at both Facebook and Instagram and I’m working on putting a deal together with her to run my campaigns for me.
When it comes to running ads, you have to lay the right foundation, and a huge part of that foundation is knowing exactly what your audience wants, as well as the language they use to describe it.
That is why I’m asking you to take 2 minutes to fill out my community feedback survey.
Why take the time to help me? Because I’m going to help you by coming out with more free training material for you and if you don’t tell me what you want/need, I won’t know what to create.
Sound fair?
Go fill out the survey now, ok?
Take my survey now: http://brightideas.co/survey 2
Have a question you’d like me to answer? Post your question below.","['@Trent-Admin What makes the retargeting ads less expensive than the cold traffic ads?', 'They just are. I don’t know why.']","Dec 18, 2019 5:40 pm",0,417,2
69,How to significantly increase your supplier lead generation,Management,[],"On yesterday’s eCommerce Fast Track mastermind call, one of our members (Ben) and I talked about some of the things I learned while at the mastermind, and what I’m about to share with you is particularly applicable to your prospecting for new suppliers.
Why do so many sellers struggle to generate product/supplier leads?
They struggle because lead generation is a level 3 problem and they start doing it before completing the work needed for level 1 and level 2.
What are the first two levels, you ask?
Level 1 is authority and level 2 is positioning.
Think about this for a minute. If I’m trying to get you to book a call with me to consider partnering up to sell your products on Amazon and I don’t have any authority/credibility, how likely are you going to be to book a call with me?
Not very likely.
Now considering my positioning (messaging).
If one Amazon seller’s website messaging is “we sell on Amazon” and their competitor’s messaging is “we help brands solve Amazon-related problems”; which company would be more likely to appeal to a brand?
Obviously, it would be the company that helps brands solve their problems (because there are already far too many sellers that don’t do anything more than sell the product)
So…does it make sense to you that generating leads would be a lot easier if you have plenty of authority and the right positioning?
Of course it would be easier!
Want to learn more stuff like this from me? Please take a minute to fill out my community feedback survey, ok? Here’s the link: http://brightideas.co/survey 1
Why take the time to help me? Because I’m going to help you by coming out with more free training material for you and if you don’t tell me what you want/need, I won’t know what to create.
Sound fair?
Go fill out the survey now, ok?
Take my survey now: http://brightideas.co/survey 1
Have a question you’d like me to answer? Post your question below, ok?",[],0,0,0,0
70,Business name,Management,['Leadership'],"I have an Amazon FBA RA business which sells 500-600k per year. The business is named something like “Acme Internet” and I have had this DBA registered business for over 10 years.
Trent suggests/recommends setting up an LLC as a first step in starting wholesale/WEBS.
What do you recommend I do:

Just use “Acme Internet”
2 Register “Acme Internet LLC” and change my Amazon business name to same
Open a 2nd Amazon account just for wholesale (loose all my vendor reviews)
Other
Thanks,
Al.
","['I would recommend filing the LLC in the same name. There is no need to change your seller name.\nJust make sure that you change the owner info in your account to match your new LLC.', 'So I have the DBA “Acme Internet”\nI then register “Acme Internet LLC”\nI have a Sales Certificate listed as “Acme Internet” (had it for 4 years), do I need a new Sales Certificate for ""Acme Internet LLC or will the existing certificate work.\nBroader question, Trent says I need an LLC. I assume this is for credibility. Would my DBA and existing Sales Cert be sufficient…', '@almoodie I’m not sure about this.  We try to stay away from giving legal advice but maybe @Trent_Dyrsmid or @LizD will chime in here.', 'Amazon requires a good reason to open a second seller account. You can probably have it done but I’d suggest you consider registering the LLC in the same name. Again, that’s not legal advice tho \nLLC is not just for credibility but liability also. Most brands will be fine with your current sales certificate; the DBA vs LLC may actually never come up… maybe if you’re importing something through customs.', 'Thank you LizD and all.']","Dec 11, 2019 10:02 pm",1,280,5
71,EFT Call Summary for Dec 4 2019,Management,['Leadership'],"On today’s call, established seller Jon Christiansen shares the story of his recent Amazon account suspension. His very first IP claim led to a month long account suspension.
It got to the point where Amazon changed his account status where he couldn’t even remove inventory (and Jon learned that in 4 weeks, Amazon would have the option of destroying his almost $200k worth of inventory).
Listen and learn:

How Jon he got his account reinstated
Lessons learned
What Jon is doing differently going forward

Have you ever had your Amazon account suspended? What are you doing to mitigate the risk of account suspension?
We also talked about:

Prep centers, including ones who provide fulfillment
Retail store details
Grey hat techniques for reviews

If you aren’t yet an EFT member, become one today 10.",['That was an eventful call.  Sounds like Jon lived through a horror movie.  Certainly worth a listen for both Amazon sellers small and large.'],"Dec 4, 2019 7:28 pm",0,231,1
72,Zapier,Management,[],"Hi,
I recently bought WEBS and I am excited to see how much information is in and how much work will ease us but I want to know more and how we can use Zapier, I know that @Trent_Dyrsmid  talked about it in several videos I watched, I have not used this service so far but I would like
Is there a source of information or can you give us some advice?
Thanks","['Hey Adrian!\nThis page explains how to get started using Zapier:\n\n\n\nZapier 1\n\n\n\nFlowster - Integration Help & Support | Zapier 1\nGet help and support for Flowster on Zapier. Search our Flowster help documentation, resolve common errors, and learn how to use Zapier.\n\n\n\n\n\n\nIf you have any follow up questions, let me know!\nAlso, if there’s any “triggers” (ie an event in Flowster that would trigger an action in another app) or “actions” (the reverse of this … something that happens in another app that causes an action to occur in Flowster) that you’d like added, I’d love to hear about them.\nFor example:\n\nYou complete a task in Flowster (this is a trigger)\nA Trello Card is created (this is the associated action)\n', 'Hi Kane,\nThanks for directing, for this reason I asked about it, but I thought we could find some SOP on how and what to do Zap or if we can find Zap`s already made\nThanks', ""Ahhh sorry, I’m not aware of any Zapier SOPs, but that guide guide I linked above will provide similar info as would be in an SOP. Maybe someone from Bright Ideas will chime in.\nHere’s some of the pre-made Zaps available:\n\n\n\nFlowster – 29 Dec 18 1\n\n\n\nZapier | Flowster 1\nLearn about the Flowster Zapier app and what integrations are available. It's easy to integrate with everything from Trello to Hubspot to Asana, and even Slack!\n\n\n\n\n\n\nWhat apps are you wanting to integrate Flowster with?"", 'Hi @Adrian,\nWe haven’t been using Zaps as we did in the past.  Previously, we had Zaps in our Handling Bounced Emails and Importing Leads to HubSpot SOPs.  The problem was they broke a fair amount and we received a lot of questions about how to fix them.  Unfortunately, we do not have a version of these SOPs anymore.']","Nov 11, 2019 8:14 pm",2,236,4
73,EFT Call Summary for Oct 16 2019,Management,['Leadership'],"We had two people on the call today; Stephane Yelle and a new member by the name of Nick Shucet. Stephane is doing six figures a month in wholesale and Nick is doing six figures a month in RA and wanting to expand into wholesale.
On the call, we talked about:


What is working for Stephane for brand outreach


The sales rep that works for him and how she is paid


How WEBS and Flowster have helped Nick in his RA business


What is wrong with Nick’s website and how to fix it


The importance of how you position your company when talking to brands


Regarding his website, I gave Nick the following advice: Study Netrush.com 2 and Pattern.com 6 to see the types of content they publish and then do something similar. He needs to write the content himself, and if he doesn’t know how to build a Wordpress site, he can easily find helpers on Fiverr.com or upwork.com. It will be very inexpensive. The other thing I suggested was that when talking to brands, he needs to position his company as an omni-channel retailer, and the website must support that talking point.
If you aren’t yet an EFT member, become one today 12.",[],0,0,0,0
74,eCommerce Fast Track Mastermind Call Summary for July 18 2019,Management,[],"In today’s video, we talked at length about the sales process that is used to land new brand accounts.
Here’s a summary of what we covered:

How to get your prospective brands to do video calls instead of phone calls
The idea behind “always be helping” and how to use it to keep in touch with prospective brands
How to prepare for a meeting with a brand

Are you struggling to land new accounts? Why not considering joining the EFT today so you can be on our next call? Join the EFT 22 today!",[],0,0,0,0
75,Hear from a $65M Seller,Management,['Leadership'],"On today’s eCommerce Fast Track 13 conference call, we talked about some really cool stuff!
The first item discussed was a Reddit AMA 19 from a $65 million dollar seller by the name of BuyBoxer 3. I haven’t read the entire thread yet, but you can bet I’m going to! One take away was that this company is spending $1,500/mo for Keep a data.
You can bet I’d like to better understand how they are using this data and I’m planning to dig into it. If you have thoughts on how they are using it, reply in the comments, ok?
After that, we talked at length about the anatomy of a discovery call with a prospective brand. How to start the call, what to say, questions to ask, etc…
Making sure you are scheduling as many of these calls as you can (from the replies you receive) is absolutely critical to your success. If you are new, doing these calls will give you practice…and then once you have been doing them for a while, you will start winning more accounts.
As proof of that, earlier this week, I was speaking with the sales rep who works for a friend’s Amazon business, and she told me that if she can schedule a call with a brand that says, “we don’t want any more Amazon sellers”, that she can win the account 80-90% of the time. The big lesson here is this: GET ON THE PHONE at every chance you can.
Next, we talked about two new podcast interviews that are going to be published in the next few weeks (http://brightideas.co/273 4 and http://brightideas.co/274 3). In these interviews, I learned a great deal about Google Tag Manager, why it is important, and how to use it, plus something called attributed revenue.
Why should you care about this stuff? Simple. The more you know about digital marketing, the better off you are when it comes to being able to have intelligent conversations with brands…and the inevitable outcome of your making a very positive first impression on brands is that they will want to do business with you, if for no other reason than to get access to your brain.
Be smart. Win accounts.
Have thoughts or comments about this post? Please reply.
Want to get in on the next conference call? Join the EFT 13 today.",[],0,0,0,0
76,About the Amazon Specific Category,Amazon Specific,[],Have questions about using the Amazon marketplace? This is the category to use. Please be sure to select the most appropriate sub-category for your questions.,[],0,0,0,0
77,Amazon FBA,Amazon Specific,['Software & Tools'],"Hello
I was thinking to use Amazon fulfillment service FBA but I recently read some online articles that say FBA is not suitable for sellers that already have dedicated online websites. Is it true?","['Think about it as another channel to sell your products, more channels more exposure and more opportunity.', 'No. I have a dedicated website, and I use Amazon FBA to fulfill orders. Shopify even makes it easy by having a direct integration. You just match up your SKU and Amazon will fulfill available orders that customers place on your shopify store.']","Oct 8, 2020 8:19 am",0,192,2
78,Issues with adding products on Amazon,Amazon Specific,[],I was adding my products on Amazon and got stuck in a field called Product Id. What exactly is product Id?,"['That would be your UPC, EAN or GTIN.  Amazon really wants a GS1 registered GTIN.', 'Thanks']","Aug 21, 2020 11:56 am",0,192,2
79,Choosing a niche for selling on Amazon,Amazon Specific,['All Other Amazon Related Issues'],"Trent recommends choosing a niche category for selling Wholesale on Amazon. How important is this.
Here’s the list of categories I have narrowed it down to:
Automotive & Powersports
Camera & Photo
Consumer Electronics
Grocery & Gourmet Foods
Health & Personal Care
Industrial & Scientific
Office Products
Personal Computers
Software
Sports
Tools & Home Improvement
I’m hung up here, any input appreciated.","['@almoodie You may have trouble getting input on this as other sellers don’t want to point you toward the niche they have also chosen. Be sure you are considering object size, category revenue size, number of sellers in the category (tough info to find), and category growth.\nAlso look for any missing roles within the niche you may be able to fill.  If you have prior experience in any of these niches it would be a good selling point when talking to brands.', 'I think the best niche is the one that has a good demand instead of the season and the competition.  The weight of a product also plays a significant part in determining the shipping charges so while selecting a niche keep the size, demand and competition in mind.']","Jan 2, 2020 7:54 pm",0,339,2
80,How to sell my own products on Amazon?,Amazon Specific,[],I am a manufacturer and I have a lot of products so can I sale it on Amazon?,"['Yes! You most definitely CAN sell your products on Amazon.\nThere are different ways of going about it…some better than others.\nShoot me an email at clay.holland@powerlifeservices.com with your phone number and a couple of good times to call if you’d like to discuss it.\n-Clay\nclay.holland@powerlifeservices.com', 'Hello,\nWe also manufacture and sell our products on Amazon, our own site as well as other platforms. Feel free to call me at 505-349-4553 to chat about your options in detail.\nI look forward to hearing from you,\nDominic\n505-349-4553']","Aug 17, 2020 1:57 pm",0,124,2
81,What forms of advertising can you perform on Amazon?,Amazon Specific,['PPC'],"What forms of advertising can you perform on Amazon? Also, how do you decide when and what products to use them on?","['You can run many types of Amazon PPC for your listings or products. The most common would be Sponsored Product Ads, these are advertisements based on search terms. This is the type of advertising that you have the most control over and the most direction over your spend.\nYou can also run Product Placement Ads, which are advertisements under the Buy Box of other listings. This can very easily be very expensive, but is best if you have a list of direct competitors.\nFinally, there are Headline Search Ads which are run on keywords but will appear at the top of the search results. This is by far the most expensive type of advertisements, but is best if you are looking to increase brand loyalty.', 'Broadly there are three forms or types of advertising that you can perform on Amazon.\n\nSponsored product ads\nSponsored brand ads\nProduct display ads\nGo for sponsored product ads if you want to promote a single product. You can pick sponsored brands ads if you want to target customers that are searching product similar to yours. Or pick product displays ads if you want to target people based on their interests like if they are searching for electric cattle then your product will be displayed.\n']","Apr 10, 2019 2:24 am",0,257,2
82,How to sell a lead on the idea of product reviews = more sales,Amazon Specific,[],"Hey -
So I have a lead I want to approach with the idea of creating automated emails using Feedback Genius to increase their product sales. They’re going to list some items on Amazon, but I don’t think they realize how long it can take to get enough reviews to get their sales flowing.
I want to set up automated emails, customize them to the product, and create a PDF to drive their review rate up to 6-7% using Feedback Genius. I haven’t done this with new listings before, so I’m trying to figure out how to discuss this so it’s set up for win-win from the start.
I’d also offer to monitor and respond to negative reviews for them.
Anywho, I’m thinking of telling them they’ll get a much slower rate of reviews without using automated emails or a PDF, which means if I add those two types of value for them, that will shorten their time to grow sales significantly. And the same with responding to the negative product reviews.
So, do I tell them I expect about a .5% review rate without any emails sent, 2% with a custom email sent, and about 6% if we advertise a bonus PDF? And then hold myself accountable for showing them those metrics with Feedback Genius.
And if they’re convinced, only after they see that value would I ask them to sign a contract.
It’s scary. Haven’t done this before. Just know it works.
Interested in your advice,
Dan","['I would caution against promising 6% feedback rate… that’s very high even with a PDF. Instead you might find a 3rd party blog post that explains the benefits of properly managed reviews… if you don’t want to point them to the Feedback Genius site you could rewrite a post on your website.', 'Okay. Good to know. I had heard 6-7% from some sources. But I think your approach is wiser. That might be dated info.']","Oct 4, 2019 10:23 pm",0,239,2
83,Getting positive reviews,Amazon Specific,['Reviews & Customer Service'],"Hi,
Is there any amazon compliant manner of getting positive reviews for your listing?
Cheers,
David","['Hi David,\nYes there are, you can use a product review software such as zonmaster or feedbackfive to request customers leave a review. Let me know if this helps!\n-Grant', 'Hi Grant,\nThank you for your answer. I will look into the softwares.\nCheers,\nDavid', 'You can also still use giveaway/promo sites… you just can’t ask for reviews using those sites.']","Aug 5, 2019 4:42 am",1,463,3
84,How Can I Increase My Amazon Conversion Rate,Amazon Specific,[],How Can I Increase My Amazon Conversion Rate?,"['What you’re talking about is called “listing optimization.” It’s a science all its own. Just Google or YouTube “how to optimize my Amazon listings” and similar phrases. You’ll have no problem finding an abundance of info on it. Good luck!', 'There is also an SOP on Product Listing Optimization in WEBS but you are correct that it is a science all its own.  Our SOP shows what to look for and how to make changes but there is a lot of work in between that can be down in a million different ways.']","Apr 25, 2020 1:19 pm",0,234,2
85,Reviews wiped out,Amazon Specific,[],Any one familiar with reviews wiped out? Is there a way to detect or be notified if the reviews significantly decrease over a short period? Thanks.,"['@liahsidney I’m not real familiar with this.  I’ve heard of a listing with multiple variations being split and each variation only being left with reviews that belonged to it.  I’m also not sure about monitoring overall review numbers.   Most monitor new reviews but I haven’t found anything that will notify you of decreasing reviews.  Keepa or H10 may set it up for you if you ask.', 'We rely on Helium 10 to see when reviews have changed. They send out emails stating the prior number of reviews and current, e.g.,\n"" Number of 1-star reviews changed\nOld Value:  130\nNew Value:  131 ""\nI’m not 100% positive they would email you if the number of POSITIVE reviews dropped, e.g., Old Value 130; New Value 100. But you could email their support and ask.', 'This is interesting. I actually don’t know that helium has this feature. But how do you set this up to show that particular report? Not really particular if negative or positive reviews wiped are specified, just needs to know if reviews have been decreased significantly.', '@liahsidney you set it up under the Alerts: Hijacker & Product Monitoring page.  There is a step in the Setting Up Your Accounts and Getting Started SOP that shows how to do it.  We also changed our Seller & Product Review Monitoring SOPs to use H10.  These changes were made last month so you may have to ask for updated templates from Flowster to get them.\n\nimage1190×662 127 KB\n']","Apr 29, 2020 1:13 pm",1,177,4
86,Request a review,Amazon Specific,[],"Anyone encountered the new feature in the manage orders ""request a review?","['Hi @liahsidney,\nI haven’t used the feature but here is what Amazon has to say about it:\n\nWe don’t require you to request reviews because our systems already do that on your behalf at no cost to you. If you would still like to request a review for a specific order, we recommended that you use the Request a review feature on the Order Details page instead of asking the customer via email or Buyer-Seller Messaging.\n\n\nWhen you request a review using this feature, we ask for both a product review and seller feedback for the order in the same email. These requests use standardized language and are automatically translated into the customer’s preferred language.\n\n\nYou can use this feature to request reviews once per order between 4 and 30 days after the order delivery date. This ensures that customers receive relevant, recent review requests.\n', 'Hi @liahsidney !\nAmazon’s New Request A Review Button 1 is interesting, but I am not entirely sure that it is useful.\nBasically, amazon already sends generic automated emails (I am sure you can recall getting a few of them when you purchase things on amazon)\nThe problem is that they are not personalized and they come straight from amazon.\nThe good thing is that this button complies with all of amazon’s Terms of service, so you won’t find yourself in trouble with them. There are other tools out there that allow you to automate more personal email to your orders, but then you start getting yourself into a grey area with amazon’s Terms Of Service. The decision is up to you!', '@chcsteele9 We actually switched over to the request a review feature.  You can request reviews in bulk using Viral Launch (in WEBS SOPs) or Jungle Scout.\nI watched a Viral Launch webinar (tried to find the replay link but couldn’t) that talked about the pros of the request a review button.  Basically, the customer doesn’t have to click any links to leave a product review.  They can leave a review within the follow up.  Also, customers no longer have to leave a written review to give a star rating.  The ease with which customers can leave a review in this strategy has made review rates increase significantly.  Viral Launch used an AirPods listing as an example.  The listing had 3,000 reviews when the request a review feature was implemented in September 2019.  They were at 38,000 reviews and a 4.6 star rating by February.\nYou can read more about it on Viral Launch’s blog 1 but the choice is ultimately yours on which follow up you’d prefer.', '@Mitch this is indeed helpful! Appreciate this update from you.', '@Mitch have you heard of reviews wiped out?', '@liahsidney I have not.  What do you mean exactly?  On variations or parent ASINs?']","Nov 25, 2019 2:58 pm",3,281,6
87,Vintage watch,Amazon Specific,[],Hi! I have some used vintage watches. Can i sell it on amazon? Thanks.,['@ClarkAtti that is a hard question to answer.  Watches are one area not all Amazon sellers can access due to high levels of counterfeit and theft.  The only way to know for sure is to find (or create) a listing and see if you could list product as used.\neBay is likely a better choice for you here.'],"Apr 25, 2020 5:50 am",1,149,1
88,How to reduce ACOS?,Amazon Specific,['PPC'],"My ACOS is around 70% right now. Which is pretty bad for my profit margin.
Any tips on how to get it lower?","['@jims it’s tough to know what improvements could be made without going over the campaign(s).  There is a lot of information online about Amazon advertising you can look through.  Here’s an article that had some good steps to lowering ACoS 8.', 'I thought this was a great episode for that https://blog.viral-launch.com/podcast/amazon-advertising-getting-more-expensive/ 5', 'Thanks guys!', 'Here are a few ideas to help you try and lower your amazon PPC ACOS\n\nLower your bids\nMore Reviews\nPrice reductions\nHigher star rating\nBetter photography\nAdd infographics to your images\nAdd a video to your listing\nChange your copy\nChange Your Title\nEliminate poor-performing keywords\n\nEach of these ideas should help you improve your conversion rate. Just know that when you first launch a product on amazon (Which it sounds like you just did) your ACOS will naturally be high because you are starting with no reviews. Your PPC ACOS is affected by your Conversion Rate, so make sure you are doing everything possible to improve that.', '@chcsteele9 Good point.  ACOS isn’t a direct measure of conversion due to the keywords targeted to get the prospective customer to your listing (as in they could be looking for a different product and have no interest in yours), but conversion rate is very important to having a lower ACOS.']","Oct 4, 2019 4:05 am",4,266,5
89,Amazon Limiting FBA Inbound Shipments,Amazon Specific,['Inventory Management'],"As I’m sure you all have heard from Amazon, they are limiting products that can be sent into their warehouses to “essentials” until April 5th.  For now, I am just planning on trying to build a shipment before I reorder products.
Does anyone know of a better way to find out which of the products in your inventory can be sent in during these messy times?","['I’d also like to know more about this. Does anyone have any additional info yet?', '@Rebca I actually just found out that Amazon’s Restock Inventory page or Restock Inventory report will only show products that you are allowed to ship in currently.\nRestock_Inventory3054×852 366 KB\n']","Mar 18, 2020 8:08 pm",1,195,2
90,How can i open the category on amazon?,Amazon Specific,[],"How can i open the category on amazon? I want to ungate toys and grocery, medecine. What should i do?","['@Khan Find products in each category and try adding them to inventory.  At some point, likely immediately if you are gated from the category, you’ll have to apply to sell the product.  They will either then accept or deny your request to sell in the category and the product.\nIf denied, put a ticket in with Amazon to appeal the denial and keep at it until they grant you the ability to sell.  There are also some good un-gating services such as the Funnel Guru 3 who can help if you are struggling to get ungated.', 'Ive tried funnel guru. They aren’t professionals as well as the price is too high. Im gonna try myself. Also your advice is profitable. ty', 'Thank you @Khan.  Hopefully no paid assistance is necessary getting un-gated.  I agree that the price of Funnel Guru is high.  They have gotten us un-gated in the past with a product we were struggling with though.', 'Well, i found the answer to my question. For not much words i left the link. https://www.facebook.com/RestrictAgent/ 3']","Mar 2, 2020 4:07 pm",0,231,4
91,Report that shows $ for returned items?,Amazon Specific,['All Other Amazon Related Issues'],"We’re trying to find a report that shows the value of returned items between two dates.
Does anyone know where this is located?","['@randy1 Try the FBA Customer Returns Report.  It’s under Customer Concessions in Fulfillment Reports.\nIf you also do seller fulfilled, you’ll have to view it separately by going to Reports -> Return Reports.\n\nBanners_and_Alerts_and_Fulfillment_Reports_-_Amazon2936×1190 404 KB\n', 'Perfect - thank you sir!']","Mar 9, 2020 4:04 pm",0,163,2
92,Received email that said ODR is > 1%,Amazon Specific,['All Other Amazon Related Issues'],"We just received an email this morning that said our ODR is greater than 1%, but it’s not even close.
I’m hoping this is just a bug in Amazon’s system or something.
Has anyone else received such an email or heard of this happening?","['Hi Zaid,\nI haven’t heard anything like this.  You may want to put a ticket in with Amazon to try and sort it out.']","Feb 24, 2020 10:14 pm",0,212,1
